"Latitude","Longitude","Risk_Label","Cluster"
41.8009,-87.6002,"Day Low Crime",2
41.8009,-87.5993,"Day Low Crime",2
41.8008,-87.6013,"Day Low Crime",2
41.7987,-87.6013,"Night Low Crime",1
41.7979,-87.6007,"Day Low Crime",2
41.7979,-87.6008,"Day Low Crime",2
41.7979,-87.6008,"Night Low Crime",2
41.7979,-87.6009,"Night Low Crime",2
41.8019,-87.5982,"Day Low Crime",2
41.8019,-87.5982,"Day Low Crime",2
41.8002,-87.6028,"Day Low Crime",2
41.8004,-87.6028,"Night Low Crime",2
41.8005,-87.5967,"Night Low Crime",2
41.8005,-87.5967,"Night Low Crime",1
41.7991,-87.5966,"Day Low Crime",2
